-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 05/01/2023 through 04/26/2024 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                    MERRA-2 Surface Pressure (kPa) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,PS,PRECTOTCORR,T2M,WS2M,ALLSKY_SFC_SW_DWN
26.75,87.25,2023,121,94.01,0.12,23.02,1.16,9.58
26.75,87.75,2023,121,93.09,0.9,22.23,1.18,9.58
26.75,88.25,2023,121,92.66,2.33,21.68,1.22,12.63
26.75,88.75,2023,121,93.63,3.59,22.25,1.15,12.63
26.75,89.25,2023,121,91.24,2.86,20.73,0.91,20.38
26.75,89.75,2023,121,91.11,2.32,20.71,0.95,20.38
27.25,87.25,2023,121,82.0,0.18,14.51,1.51,10.65
27.25,87.75,2023,121,80.05,0.93,13.08,1.57,10.65
27.25,88.25,2023,121,77.47,2.29,11.14,1.58,12.03
27.25,88.75,2023,121,78.65,3.32,12.1,1.41,12.03
27.25,89.25,2023,121,75.71,2.76,10.25,1.14,14.52
27.25,89.75,2023,121,76.4,2.34,11.09,0.77,14.52
27.75,87.25,2023,121,66.23,0.3,3.44,2.58,10.65
27.75,87.75,2023,121,65.15,0.96,2.93,2.79,10.65
27.75,88.25,2023,121,62.32,2.03,0.85,2.99,12.03
27.75,88.75,2023,121,63.64,2.51,2.08,2.91,12.03
27.75,89.25,2023,121,63.17,2.09,2.11,2.78,14.52
27.75,89.75,2023,121,63.7,1.76,2.66,2.33,14.52
28.25,87.25,2023,121,56.86,0.27,-2.31,3.76,16.22
28.25,87.75,2023,121,57.26,0.63,-1.62,4.07,16.22
28.25,88.25,2023,121,56.45,1.14,-2.15,4.51,18.69
28.25,88.75,2023,121,56.73,1.28,-1.73,4.79,18.69
28.25,89.25,2023,121,57.3,1.12,-0.99,4.68,15.5
28.25,89.75,2023,121,56.68,0.98,-1.49,4.53,15.5
26.75,87.25,2023,122,94.08,0.06,23.97,1.23,11.55
26.75,87.75,2023,122,93.15,0.55,23.18,1.34,11.55
26.75,88.25,2023,122,92.72,1.58,22.67,1.41,12.62
26.75,88.75,2023,122,93.7,2.87,23.08,1.23,12.62
26.75,89.25,2023,122,91.3,3.94,21.25,1.0,15.68
26.75,89.75,2023,122,91.18,3.98,21.08,1.06,15.68
27.25,87.25,2023,122,82.06,0.08,14.87,1.64,5.73
27.25,87.75,2023,122,80.11,0.37,13.35,1.65,5.73
27.25,88.25,2023,122,77.52,0.95,11.39,1.61,10.17
27.25,88.75,2023,122,78.71,1.59,12.28,1.38,10.17
27.25,89.25,2023,122,75.76,2.39,10.35,1.13,10.47
27.25,89.75,2023,122,76.45,2.79,11.14,0.79,10.47
27.75,87.25,2023,122,66.28,0.09,3.67,2.42,5.73
27.75,87.75,2023,122,65.2,0.23,2.92,2.53,5.73
27.75,88.25,2023,122,62.38,0.48,0.73,2.62,10.17
27.75,88.75,2023,122,63.69,0.66,2.01,2.5,10.17
27.75,89.25,2023,122,63.22,0.96,2.03,2.43,10.47
27.75,89.75,2023,122,63.73,1.23,2.63,2.1,10.47
