WS10M,PS,PRECTOTCORR,T2MDEW,ALLSKY_SFC_LW_DWN,WS50M_RANGE,Evaporation_Rate,Sensible_Heat_Flux,date
3.1828,72.9256,0.36,-4.1916,260.3304,5.5412,259.8195804310229,60.41810683127136,2019-04-01
3.06,73.068,0.4344,-4.9544,255.7372,4.7592,255.20922412949565,58.36599087969254,2019-04-02
2.93,73.1084,0.166,-3.1056,266.0684,4.7816,265.5824884495366,55.534464569731256,2019-04-03
2.5656,73.2004,0.0,-0.4264,284.4488,4.0272,284.01238601612437,48.21060095287445,2019-04-04
2.6156,73.1484,0.0352,0.788,288.2028,4.54,287.7936631363398,48.897509982294466,2019-04-05
3.042,73.0636,1.738,1.2548,294.7276,4.9456,294.32141691760614,56.70631652403349,2019-04-06
3.2444,72.9604,0.4012,0.0668,289.4112,4.5772,288.98099947344156,60.65646040201675,2019-04-07
2.4232,72.9344,7.2648,-0.4348,290.2148,3.9384,289.7692990719059,45.37067029094357,2019-04-08
2.6388,72.9692,0.8984,-1.0468,267.2376,4.3696,266.81086531570094,49.54219860580097,2019-04-09
2.9512,73.1348,0.0244,0.4604,277.1212,5.4748,276.7194990329485,55.22719478777384,2019-04-10
2.954,73.1396,0.0,-1.7388,276.0184,5.1648,275.55742331257824,55.73117140895028,2019-04-11
2.9532,73.1404,0.0,0.0788,299.8076,5.214,299.3622877010027,55.34604362493527,2019-04-12
2.9864,73.1448,0.0012,1.0384,286.0528,5.0156,285.6531251618841,55.775724633775724,2019-04-13
3.0804,73.1352,0.0,-0.3024,281.8372,5.5436,281.4082238830311,57.80644941658636,2019-04-14
3.0016,73.0996,0.0044,-0.2836,285.356,5.0644,284.9221919693438,56.29639963314223,2019-04-15
3.1404,73.1376,2.592,1.852,306.7364,6.9636,306.32932247658647,58.47263782293611,2019-04-16
3.8952,73.0976,5.9592,1.7252,299.4292,6.8036,299.02862969717836,72.52039921798061,2019-04-17
2.6244,73.0256,5.5948,0.6872,306.9688,4.2936,306.53021835584053,48.99768738597526,2019-04-18
2.0888,72.9272,0.1736,0.5884,285.1956,2.9052,284.78555463003664,38.95951471821586,2019-04-19
2.3084,72.8468,0.0508,1.2544,293.4912,3.6388,293.08671062986826,42.90356084492505,2019-04-20
2.5388,72.804,1.5884,1.6388,297.3096,4.5144,296.9096902254581,47.09204691773815,2019-04-21
2.4436,72.8888,0.71,0.9844,287.2936,4.2492,286.89081301403684,45.48730898903959,2019-04-22
2.8208,73.1144,0.0164,1.4904,290.9008,4.5228,290.5058244531655,52.57431916720854,2019-04-23
2.886,73.2436,0.1404,2.676,305.0996,4.8996,304.7151165238502,53.652958242472025,2019-04-24
3.3632,73.2508,0.3404,1.2004,305.494,5.5008,305.0715251887425,62.86694170472933,2019-04-25
3.4208,73.136,0.2472,0.4816,290.0616,6.1292,289.6417094377447,64.01113126186732,2019-04-26
3.3596,73.0488,0.0,-3.8764,266.3136,6.0008,265.801851953368,63.80720876845887,2019-04-27
3.4992,72.992,0.0,-4.8428,268.3548,5.9816,267.80489166411996,66.6460734065596,2019-04-28
3.016,73.0052,0.0008,-5.0324,274.9908,5.2164,274.4201048299437,57.494019765727415,2019-04-29
4.0328,72.916,0.09,-2.6472,304.1396,7.3996,303.60062970534324,76.10630210764488,2019-04-30
4.9256,72.8176,0.898,0.196,329.8624,6.9576,329.37610590258004,91.86406166895195,2019-05-01
3.668,72.9148,2.6428,0.0112,324.3008,5.5476,323.81701819522186,68.54706574132149,2019-05-02
3.48,72.9748,2.2132,0.6408,308.8564,5.134,308.4138157182234,64.9375907046216,2019-05-03
3.4932,72.978,0.0144,-4.0124,270.588,5.4796,270.06333029589035,66.31379741584075,2019-05-04
3.7444,72.9508,0.0024,-6.0504,269.802,6.2888,269.20242110175917,71.59817008810336,2019-05-05
3.8916,72.8512,0.0,-6.7164,271.4104,6.1572,270.77942456063164,74.49699871794532,2019-05-06
4.1048,72.8296,0.0,-5.9916,271.8668,7.2612,271.2650255409735,78.34187425847553,2019-05-07
3.8756,72.8768,0.0,-5.2632,278.9128,5.674,278.3249477303844,73.81417877111427,2019-05-08
3.73,72.8012,0.0,-5.0796,270.646,5.9932,270.0825446116638,70.9187990062942,2019-05-09
4.094,72.8856,0.072,-0.5112,303.7712,7.2048,303.30259241613015,76.62399210579774,2019-05-10
3.5044,73.0184,0.0868,0.8344,321.7408,5.984,321.2853979148011,65.38573546073054,2019-05-11
3.6828,72.8992,0.0868,0.3344,312.7424,6.6784,312.285404023531,68.7276039346933,2019-05-12
2.95,72.8592,0.5448,1.0948,305.522,5.4944,305.09664769954543,54.869484201717356,2019-05-13
3.1328,72.8564,1.768,2.2552,332.0304,5.3264,331.60079241059566,58.02178787732636,2019-05-14
3.0952,73.0076,0.2072,0.9796,297.5244,5.0656,297.10714221851464,57.71168057757542,2019-05-15
